order_id,order_date,amount,product_id
1,2023-03-11,235.16,104
2,2023-03-03,347.48,109
3,2023-04-22,431.34,101
4,2023-03-04,264.85,107
5,2023-01-04,349.19,109
6,2023-02-26,430.54,109
7,2023-03-12,478.69,105
8,2023-04-29,488.09,104
9,2023-01-05,438.88,104
10,2023-05-21,400.42,104
11,2023-05-23,174.79,105
12,2023-05-20,296.86,102
13,2023-05-16,177.96,107
14,2023-05-04,317.89,101
15,2023-01-04,203.39,105
16,2023-05-01,162.84,103
17,2023-01-04,272.18,103
18,2023-04-24,401.21,107
19,2023-03-02,360.13,102
20,2023-01-08,341.94,109
21,2023-02-03,383.97,106
22,2023-04-04,250.86,102
23,2023-01-09,50.1,105
24,2023-02-04,64.15,107
25,2023-05-21,475.91,101
26,2023-05-21,263.08,106
27,2023-05-23,400.55,101
28,2023-04-25,344.63,102
29,2023-01-28,205.1,105
30,2023-04-12,369.06,107
31,2023-02-20,448.08,102
32,2023-01-29,179.33,109
33,2023-01-11,388.66,109
34,2023-05-03,186.84,106
35,2023-01-26,144.7,110
36,2023-05-22,146.37,108
37,2023-05-09,130.25,110
38,2023-01-14,430.57,104
39,2023-01-12,114.18,101
40,2023-04-05,452.28,108
41,2023-05-19,177.62,105
42,2023-04-04,419.58,105
43,2023-05-23,439.75,108
44,2023-04-24,249.23,102
45,2023-03-13,72.38,109
46,2023-02-17,148.07,104
47,2023-02-01,312.55,102
48,2023-05-03,182.24,105
49,2023-05-07,496.1,101
50,2023-04-15,373.59,106
51,2023-04-26,208.51,110
52,2023-02-14,161.09,108
53,2023-02-04,138.47,107
54,2023-05-28,80.8,109
55,2023-04-22,260.65,109
56,2023-05-30,452.56,107
57,2023-02-08,246.65,109
58,2023-01-17,334.9,105
59,2023-01-27,393.47,101
60,2023-01-22,385.07,106
61,2023-02-08,101.65,102
62,2023-03-21,165.45,106
63,2023-04-01,465.44,103
64,2023-04-16,442.28,107
65,2023-04-22,88.79,108
66,2023-02-17,249.95,110
67,2023-04-04,333.84,107
68,2023-01-19,339.17,107
69,2023-01-19,369.66,108
70,2023-02-02,407.12,109
71,2023-01-03,223.99,108
72,2023-05-11,347.94,104
73,2023-01-12,348.16,110
74,2023-01-13,51.13,108
75,2023-03-05,340.98,107
76,2023-01-23,481.06,110
77,2023-01-19,468.97,104
78,2023-03-26,326.44,101
79,2023-05-23,247.62,105
80,2023-04-07,200.28,109
81,2023-04-19,169.74,103
82,2023-01-20,473.54,104
83,2023-03-24,433.12,102
84,2023-02-17,377.45,104
85,2023-05-26,227.27,102
86,2023-03-18,77.16,107
87,2023-05-03,231.55,110
88,2023-01-12,286.69,108
89,2023-03-25,114.74,108
90,2023-03-11,234.88,104
91,2023-05-13,60.87,109
92,2023-05-19,68.39,102
93,2023-02-10,83.22,105
94,2023-03-06,147.9,106
95,2023-04-03,465.36,103
96,2023-02-11,404.75,103
97,2023-02-21,498.61,110
98,2023-02-01,324.54,106
99,2023-03-10,220.62,101
100,2023-04-29,294.72,106
